"long","lat","bio1","bio12"
-69.3541666663425,-29.2291666670015,4.46083402633667,112
-69.2708333330085,-29.0208333336665,5.74399995803833,98
-69.2291666663415,-28.7708333336645,4.70166683197021,99
-68.2291666663335,-28.7291666669975,14.6728296279907,127
-68.3958333330015,-28.6458333336635,13.778829574585,121
-69.8958333330135,-28.6458333336635,1.59216701984406,109
-68.7291666663375,-28.6041666669965,8.90416622161865,129
-68.8541666663385,-28.4791666669955,3.65966701507568,113
-68.8541666663385,-28.3958333336615,1.67566704750061,117
-68.8541666663385,-28.3125000003275,2.06733298301697,123
-68.8541666663385,-28.3125000003275,2.06733298301697,123
-68.2291666663335,-27.8125000003235,6.67766714096069,109
-68.3958333330015,-27.6875000003225,3.29266691207886,111
-68.3124999996675,-27.6458333336555,1.39250004291534,119
-68.2291666663335,-27.6458333336555,5.6018328666687,113
-68.5624999996695,-27.6458333336555,4.11899995803833,103
-68.1458333329995,-27.6041666669885,8.33899974822998,98
-69.0624999996735,-27.6041666669885,-0.218666702508926,112
-68.5208333330025,-27.6041666669885,2.16483306884766,107
-69.0624999996735,-27.5625000003215,1.02866697311401,102
-69.0208333330065,-27.4791666669875,1.23233294487,97
-69.2708333330085,-27.4791666669875,2.89400005340576,96
-69.1041666663405,-27.4791666669875,2.3529999256134,92
-69.2708333330085,-27.4791666669875,2.89400005340576,96
-68.1041666663325,-27.4375000003205,7.96383285522461,89
-69.0208333330065,-27.3958333336535,2.86666703224182,84
-69.2291666663415,-27.3958333336535,2.70099997520447,82
-68.8958333330055,-27.3125000003195,0.581166684627533,99
-69.0208333330065,-27.3125000003195,3.71849989891052,78
-68.1041666663325,-27.2291666669855,6.72933292388916,85
-69.0208333330065,-27.1458333336515,4.3356671333313,69
-68.1041666663325,-27.1041666669845,6.50600004196167,78
-68.0624999996655,-27.1041666669845,5.44516706466675,86
-69.1458333330075,-27.0625000003175,6.12766599655151,56
-68.9374999996725,-27.0625000003175,3.78883290290833,75
-69.1874999996745,-27.0625000003175,4.94683313369751,60
-68.9791666663395,-27.0625000003175,5.19733285903931,63
-69.1458333330075,-26.9791666669835,5.67533302307129,54
-69.0624999996735,-26.9791666669835,6.22833299636841,55
-68.0624999996655,-26.9791666669835,5.72650003433228,85
-68.0624999996655,-26.9375000003165,5.15666723251343,86
-69.1041666663405,-26.8958333336495,6.25600004196167,58
-66.7291666663215,-26.8958333336495,10.9896697998047,142
-66.8124999996555,-26.8125000003155,8.77633380889893,127
-67.1458333329915,-26.7708333336485,8.03800010681152,103
-66.8958333329895,-26.7291666669815,10.3905000686646,105
-67.0208333329905,-26.7291666669815,7.85083293914795,115
-67.1874999996585,-26.6875000003145,6.72333288192749,106
-66.9374999996565,-26.6875000003145,10.2025003433228,104
-66.9791666663235,-26.6875000003145,9.01449966430664,110
-66.9374999996565,-26.6041666669805,10.2095003128052,101
-66.8541666663225,-26.4791666669795,9.86533355712891,102
-66.8541666663225,-26.4375000003125,7.82233285903931,113
-67.3541666663265,-26.4375000003125,11.4471702575684,67
-69.3124999996755,-26.3541666669785,8.95149993896484,27
-67.0624999996575,-26.2708333336445,4.77650022506714,113
-67.0624999996575,-26.2291666669775,5.05816698074341,110
